Date;c;o;l;h;volume
2023-05-01;79.31;80.11;78.13;80.24;146564
2023-04-28;79.54;78.25;77.69;79.61;13303
2023-04-27;78.37;77.77;77.39;78.61;104388
2023-04-26;77.69;80.92;77.46;81.47;172821
2023-04-25;80.77;82.59;80.35;83.06;209279
2023-04-24;82.73;81.87;80.48;82.99;197899
2023-04-21;81.66;80.79;80.45;82.05;196854
2023-04-20;81.1;82.75;80.77;82.92;302902
2023-04-19;83.12;84.9;82.39;85.15;333215
2023-04-18;84.77;84.74;83.81;85.41;315698
2023-04-17;84.76;86.43;84.34;86.52;261810
2023-04-14;86.31;86.18;85.53;86.87;262578
2023-04-13;86.09;87.19;86.05;87.47;291944
2023-04-12;87.33;85.59;85.39;87.49;347797
2023-04-11;85.61;84.24;83.75;85.67;262666
2023-04-10;84.18;85.1;84.09;85.66;140529
2023-04-06;85.12;84.89;84.05;85.45;259617
2023-04-05;84.99;85.22;84.01;85.54;246479
2023-04-04;84.94;84.89;83.82;86.04;308533
2023-04-03;84.93;86;83.5;86.44;478307
2023-03-31;79.77;79.19;78.54;79.8;6853
2023-03-30;79.27;78.23;77.86;79.55;62922
2023-03-29;78.28;78.97;77.94;79.68;79541
2023-03-28;78.65;78.23;77.54;79.2;145681
2023-03-27;78.12;75;74.8;78.42;146945
2023-03-24;74.99;75.53;72.68;76.32;156306
2023-03-23;75.91;75.87;75.12;77.44;199644
2023-03-22;76.69;75.15;74.5;77.12;194042
2023-03-21;75.32;73.64;72.82;75.42;226837
2023-03-20;73.79;73.01;70.12;73.87;282569
2023-03-17;72.97;74.7;71.4;75.92;427490
2023-03-16;74.7;74.3;71.86;75.54;332586
2023-03-15;73.69;77.82;71.67;78.73;547561
2023-03-14;77.45;80.54;76.89;80.92;357862
2023-03-13;80.77;82.6;78.34;83.48;467281
2023-03-10;82.78;81.47;80.73;83.11;369281
2023-03-09;81.59;82.55;81.42;84;282564
2023-03-08;82.66;83.03;82.06;83.59;297087
2023-03-07;83.29;86.23;82.83;86.75;295188
2023-03-06;86.18;85.83;84.34;86.35;244340
2023-03-03;85.83;84.61;82.36;86;312895
2023-03-02;84.75;84.31;83.83;85.1;214215
2023-03-01;84.31;83.05;82.61;84.49;242656
2023-02-28;83.89;82.3;82.19;84.15;12300
2023-02-27;82.45;83.19;81.73;83.6;58845
2023-02-24;83.16;82.49;81.07;83.39;107150
2023-02-23;82.21;80.48;80.4;82.77;157669
2023-02-22;80.6;82.78;80.43;83.25;253144
2023-02-21;83.05;83.86;82.56;84.2;231628
2023-02-20;84.07;83.15;82.73;84.3;143850
2023-02-17;83;84.6;81.8;84.87;303660
2023-02-16;85.14;85.27;84.6;86.21;197021
2023-02-15;85.38;85.2;83.88;85.85;245984
2023-02-14;85.58;85.83;84.13;86.42;231627
2023-02-13;86.61;86.51;85.1;86.95;207621
2023-02-10;86.39;84.22;83.93;86.9;297344
2023-02-09;84.5;84.96;83.05;85.5;260730
2023-02-08;85.09;84.11;83.51;85.15;254144
2023-02-07;83.69;81.26;81.19;84.13;290979
2023-02-06;80.99;79.61;79.1;81.43;325206
2023-02-03;79.94;82.27;79.62;84.2;330324
2023-02-02;82.17;83.34;81.25;83.61;287085
2023-02-01;82.84;85.56;82.37;86.21;348662
2023-01-31;84.49;85.18;83.73;85.25;11891
2023-01-30;84.9;86.88;84.66;87.48;65548
2023-01-27;86.66;87.65;85.69;88.95;107084
2023-01-26;87.47;86.35;85.74;88.01;139104
2023-01-25;86.12;86.28;85.41;87;159465
2023-01-24;86.13;88.07;85.8;88.71;207745
2023-01-23;88.19;87.7;86.92;89.09;192408
2023-01-20;87.63;86.42;85.58;87.79;212917
2023-01-19;86.16;84.34;83.76;86.85;250959
2023-01-18;84.98;86.45;84.36;87.85;288148
2023-01-17;85.92;84.2;84.04;86.82;238298
2023-01-16;84.46;85.36;83.83;85.59;125963
2023-01-13;85.28;83.91;83.5;85.5;217396
2023-01-12;84.03;82.88;82.37;84.62;264068
2023-01-11;82.67;79.52;79.31;83;273786
2023-01-10;80.1;79.54;78.81;80.89;244353
2023-01-09;79.65;78.42;78.42;81.37;245120
2023-01-06;78.57;78.8;78.05;80.59;215424
2023-01-05;78.69;78.16;77.61;79.97;259584
2023-01-04;77.84;82.31;77.72;82.72;319305
2023-01-03;82.1;85.96;81.78;87;302855
2022-12-30;85.91;83.71;82.88;86;168654
2022-12-29;82.26;82.88;81.28;83.14;10986
2022-12-28;83.26;84.6;81.92;84.76;57560
2022-12-27;84.33;84.5;83.65;85.6;61995
2022-12-23;83.92;81.69;81.29;84.12;82361
2022-12-22;80.98;82.52;80.67;83.85;166011
2022-12-21;82.2;79.94;79.55;82.52;148437
2022-12-20;79.99;80.25;78.28;80.89;183945
2022-12-19;79.8;79.21;78.6;80.87;174244
2022-12-16;79.04;81.32;78.29;81.78;243493
2022-12-15;81.21;82.76;80.83;83.18;194974
2022-12-14;82.7;80.35;80.11;83.15;209833
2022-12-13;80.68;78.13;78.1;81.28;243816
2022-12-12;77.99;76.88;75.26;78.59;213072
2022-12-09;76.1;76.63;75.11;77.48;216497
2022-12-08;76.15;77.46;75.74;79.17;259015
2022-12-07;77.17;79.76;76.91;80.49;279365
2022-12-06;79.35;83.28;78.7;83.69;309553
2022-12-05;82.68;85.73;82.52;88.44;252904
2022-12-02;85.57;86.9;85.16;87.91;198732
2022-12-01;86.88;86.78;86.26;89.37;229128
2022-11-30;85.43;83.77;83.61;85.67;9048
2022-11-29;83.03;82.41;82.39;86;67931
2022-11-28;83.19;83.58;80.61;84.1;102556
2022-11-25;83.63;85.5;83.59;86.87;85308
2022-11-24;85.34;85.04;83.9;85.54;75611
2022-11-23;85.41;88.47;84.12;89.56;212138
2022-11-22;88.36;87.76;87.35;89.9;190846
2022-11-21;87.45;87.74;82.31;87.98;354597
2022-11-18;87.62;90.1;85.8;90.63;379661
2022-11-17;89.78;92.73;89.53;92.91;313529
2022-11-16;92.86;94.11;91.67;94.79;257615
2022-11-15;93.86;92.59;91.53;95.77;317499
2022-11-14;93.14;95.87;92.5;96.95;248245
2022-11-11;95.99;93.84;93.69;96.92;238066
2022-11-10;93.67;92.53;91.73;94.32;278533
2022-11-09;92.65;95.17;92.33;95.65;308020
2022-11-08;95.36;98.24;95;98.3;251667
2022-11-07;97.92;97.31;96.5;99.56;241941
2022-11-04;98.57;94.58;94.33;98.81;307087
2022-11-03;94.67;95.36;94.19;95.98;229115
2022-11-02;96.16;94.85;94.01;96.5;253003
2022-11-01;94.65;92.67;92.33;95.55;247652
2022-10-31;94.83;96.47;94.25;96.47;14997
2022-10-28;95.77;96.58;94.96;96.89;89938
2022-10-27;96.96;96.05;95.07;97.27;84574
2022-10-26;95.69;92.91;92.06;96.25;138002
2022-10-25;93.52;93.47;91.62;94.38;165514
2022-10-24;93.26;93.59;91.22;94.4;179202
2022-10-21;93.5;92.45;91;93.8;203280
2022-10-20;92.38;92.4;91.91;94.77;237540
2022-10-19;92.41;90.79;89.32;92.85;272350
2022-10-18;90.03;91.99;88.77;92.66;320421
2022-10-17;91.62;91.71;90.83;93.21;203801
2022-10-14;91.63;94.53;91.28;95.11;210773
2022-10-13;94.57;92.49;91.08;94.92;280518
2022-10-12;92.45;93.72;91.56;95.17;257656
2022-10-11;94.29;95.93;93.11;96.46;259027
2022-10-10;96.19;98.75;95.6;98.75;215365
2022-10-07;97.92;94.71;93.94;98.58;269400
2022-10-06;94.42;93.71;92.72;94.98;207526
2022-10-05;93.37;91.89;90.76;93.96;296201
2022-10-04;91.8;88.81;88.78;92.4;282379
2022-10-03;88.86;86.35;86.35;89.82;270689
2022-09-30;87.96;88.53;87.69;89.8;5892
2022-09-29;88.49;88.97;87.33;90.12;57863
2022-09-28;89.32;86.14;84.26;89.47;74332
2022-09-27;86.27;84.05;84.01;87.15;104088
2022-09-26;84.06;86.62;83.65;87.65;119602
2022-09-23;86.15;90.46;85.5;90.84;180102
2022-09-22;90.46;89.99;89.3;92.81;170284
2022-09-21;89.83;90.74;89.3;93.5;216932
2022-09-20;90.62;92.15;89.8;93.05;188559
2022-09-19;92;91.43;88.5;92.57;138529
2022-09-16;91.35;90.51;90.25;92.66;197482
2022-09-15;90.84;94.65;90.03;94.66;257617
2022-09-14;94.1;93.4;91.93;95.8;259902
2022-09-13;93.17;94.31;91.05;95.53;275167
2022-09-12;94;92.54;91.21;95.17;210433
2022-09-09;92.84;88.62;88.6;93.12;202939
2022-09-08;89.15;87.7;87.24;89.83;208658
2022-09-07;88;92.81;87.4;93.8;300200
2022-09-06;92.83;95.19;92.3;95.94;225949
2022-09-05;95.74;93.02;93.02;96.99;144255
2022-09-02;93.02;92.66;92.65;95.32;210002
2022-09-01;92.36;95.18;91.81;95.68;297547
2022-08-31;96.49;99.79;95.44;100.46;10070
2022-08-30;99.31;104.9;97.55;105.45;59833
2022-08-29;105.09;100.67;100.16;105.48;53025
2022-08-26;100.99;99.83;98.1;101.21;130634
2022-08-25;99.34;101.73;99.12;102.47;161491
2022-08-24;101.22;100.19;99.1;101.9;183731
2022-08-23;100.22;96.78;96.53;100.45;210633
2022-08-22;96.48;95.95;92.36;97.28;207640
2022-08-19;96.72;96.68;94.25;97.88;178601
2022-08-18;96.59;93.29;93.05;97.42;208551
2022-08-17;93.65;92.67;91.51;94.48;199193
2022-08-16;92.34;94.01;91.71;95.95;217751
2022-08-15;95.1;97.72;92.78;98.17;217574
2022-08-12;98.15;99.33;96.94;100.38;188126
2022-08-11;99.6;97.04;96.63;100.17;219416
2022-08-10;97.4;96.34;93.63;97.97;247741
2022-08-09;96.31;96.36;94.9;98.4;219670
2022-08-08;96.65;94.51;93.01;96.82;201246
2022-08-05;94.92;93.65;92.78;96.4;216197
2022-08-04;94.12;97.1;93.2;97.66;264805
2022-08-03;96.78;99.73;96.5;102.41;293111
2022-08-02;100.54;99.87;98.49;102.41;229684
2022-08-01;100.03;103.92;99.09;104.43;272835
2022-07-29;110.01;108;106.9;110.67;9127
2022-07-28;107.14;107.31;106;109.06;80841
2022-07-27;106.62;104.75;103.73;107.86;77693
2022-07-26;104.4;104.73;103.99;107.34;110001
2022-07-25;105.15;103.85;101.64;105.38;123666
